hhid,year,hhsize,depshare,maxeduc,index1,index2,buff,chicken,cow,duck,pig,incwage,incfish,incfarm,incskill,land,flood,floodmonths
100,2012,4,.25,4,-2.3313529,-2.0183733,0,1,0,0,0,0,0,1,0,1.1,1,.66666669
100,2015,4,.25,5,-.25762996,-2.1614521,0,1,0,0,0,1,0,0,0,0,0,0
101,2012,3,.33333334,6,1.7312807,-1.4525176,0,1,0,0,0,0,0,1,0,1.508,1,.66666669
101,2015,4,.25,6,1.7312807,-1.963449,0,0,0,0,0,1,0,0,0,1.545,1.5,1.6666666
102,2012,4,.25,6,.57830644,.059187297,0,1,0,1,0,0,0,1,0,2.8199999,1,.66666669
102,2015,4,.25,5,-.19104391,-1.7075658,0,1,1,0,0,0,0,1,0,3,2.5,1
103,2012,4,.25,7,-.20111838,2.5455854,0,1,0,0,1,0,0,0,1,.78000003,.5,.66666669
103,2015,4,.25,7,-1.3540927,-2.2331274,0,1,0,1,0,0,0,0,1,.63999999,.31999999,1.6666666
104,2012,6,.16666667,4,-.58474231,-1.1831276,0,0,0,0,0,0,0,0,0,0,0,0
104,2015,7,.14285715,7,.51172036,-1.560302,0,0,1,0,0,0,0,0,0,0,0,0
105,2012,4,.25,7,.57830644,.77795517,0,1,1,0,0,0,0,1,0,1.002,1,.66666669
105,2015,4,.25,8,-.25762996,-1.51511,0,1,1,0,0,0,0,0,1,.5,.5,1
106,2012,4,.25,8,-1.3540927,-.19525263,0,1,0,1,0,0,0,1,0,2.0799999,2,.66666669
106,2015,5,.2,8,-1.3540927,-.56078607,0,0,1,0,0,0,0,1,0,2.0025001,2,.66666669
107,2012,4,.25,8,-.20111838,-.71376026,0,1,1,0,0,0,0,1,0,1.161,1.0700001,1.3333334
107,2015,4,.25,8,-1.3540927,-2.2254853,0,0,0,0,0,1,0,0,0,1.16,1.0700001,2.3333333
108,2012,3,.33333334,9,-2.3313529,-1.8518223,0,1,0,1,0,0,0,1,0,0,0,0
108,2015,3,.33333334,9,-.65132838,-1.857905,0,1,1,0,0,1,0,0,0,0,0,0
109,2012,4,.25,7,-.20111838,-1.3727368,0,1,0,0,0,0,1,0,0,.47999999,.47999999,1
109,2015,5,.2,7,-.26770446,-2.387651,0,0,0,0,0,0,0,0,0,.045000002,0,0
110,2012,10,.1,5,-1.3540927,.58374107,0,1,1,0,0,0,0,1,0,.31999999,0,0
110,2015,8,.125,7,-.20111838,-.79110771,0,1,1,1,0,1,0,0,0,.16,0,0
111,2012,2,0,7,-.20111838,.61726862,0,1,1,1,1,0,0,1,0,2.5,2,1
111,2015,5,.2,9,-.20111838,.44101563,0,1,1,0,0,0,0,1,0,5,2,2.3333333
112,2012,4,.25,8,-.20111838,-.58572012,0,1,0,0,0,0,0,1,0,2.3,1,1
113,2012,9,.11111111,9,-1.4206787,2.1199393,0,0,1,1,0,0,1,0,0,1.02,1,1
113,2015,8,.125,7,-1.3540927,-2.3693576,1,1,0,0,0,0,0,1,0,1.0700001,1,1
114,2012,3,.33333334,8,-1.4206787,-.20353261,0,1,1,0,0,0,0,1,0,.5,.1,1
114,2015,4,.25,7,-2.3313529,-1.4689797,0,1,0,1,0,0,0,1,0,1.5,1.3,1
115,2012,6,.16666667,7,-1.4206787,.081815839,0,1,1,1,0,0,0,1,0,1,0,0
115,2015,6,.16666667,5,-2.3313529,.027608169,1,1,1,1,0,0,0,1,0,1.0899999,1.0799999,2.3333333
116,2012,8,.125,5,-1.4206787,-.83518833,0,1,1,0,0,0,0,1,0,1.5,0,0
116,2015,10,.1,5,-1.4206787,.3984538,1,1,1,1,1,1,0,0,0,1.005,1,1
117,2012,3,.33333334,5,-1.4206787,.51152188,1,1,1,1,0,0,0,1,0,1,0,0
117,2015,3,.33333334,5,-.25762996,-1.2787604,1,1,0,0,1,0,0,0,0,.5,.5,1
118,2012,3,.33333334,8,-1.4206787,-.67925459,0,1,1,0,1,0,0,1,0,1.25,0,0
118,2015,4,.25,8,-1.4206787,-.82543421,0,1,1,0,0,0,0,0,1,1.0025001,1,1
119,2012,4,.25,8,-.26770446,-.80175692,0,1,1,1,1,0,0,1,0,2.6500001,2.5,.33333334
119,2015,4,.25,8,-1.4206787,-1.425804,0,1,0,1,0,0,0,0,0,1,1,1.3333334
120,2012,4,.25,12,-1.4206787,-.43554494,0,1,1,1,0,0,0,1,0,3,3,1
120,2015,5,.2,12,-.20111838,1.1079812,1,1,1,1,0,0,0,1,0,6,5.5,2.3333333
121,2012,2,.5,3,-1.4206787,-2.5366383,0,1,1,0,0,0,0,1,0,.15000001,.1,.66666669
121,2015,2,.5,6,-.26770446,.43380931,1,1,0,1,1,0,1,0,0,4.02,1,1.6666666
122,2012,6,.16666667,8,-1.4206787,.35852349,0,1,1,0,0,0,0,1,0,1,1,1
122,2015,6,.16666667,8,.56823194,.34333327,0,1,1,0,0,0,0,0,1,3.01,1.5,3
123,2012,6,.16666667,9,-1.4206787,1.3589123,0,0,1,0,1,0,0,1,0,1.5,1,1
123,2015,6,.16666667,9,-1.3540927,-2.0582047,0,1,1,1,0,0,0,0,1,.30000001,.30000001,2.3333333
124,2012,6,.16666667,10,-1.4206787,2.1972439,0,1,1,1,0,0,0,1,0,2,1,1
124,2015,5,0,10,-1.4206787,-.90223753,1,1,1,0,0,0,0,1,0,.602,.60000002,1
125,2012,5,.2,5,-1.4206787,3.7463048,0,1,1,0,0,1,0,0,0,3,2,0
125,2015,5,.2,7,-.26770446,-.29108542,0,1,0,0,0,0,0,1,0,1.5,1.5,1
126,2012,5,.2,7,-.26770446,-.78101045,0,1,1,0,1,0,0,1,0,.5,.5,.66666669
126,2015,5,.2,7,-1.3540927,-.39703703,0,1,1,0,0,0,0,0,1,1.51,1,1.6666666
127,2012,6,0,12,-1.4206787,-1.0715575,0,1,1,0,0,0,0,1,0,.5,.5,.66666669
127,2015,4,0,9,-1.4206787,1.0506171,0,1,1,0,1,0,0,1,0,2,2,1
128,2012,8,.125,9,-1.4206787,-1.1280162,0,1,1,0,0,0,0,1,0,.82499999,.80000001,.66666669
128,2015,6,.16666667,9,-1.4206787,-.15955876,0,1,1,0,1,0,0,0,1,.50999999,.5,1.3333334
129,2012,8,.125,5,-1.3540927,-1.3439385,1,1,1,1,1,0,0,1,0,1.05,.5,1
129,2015,8,.125,9,-.19104391,1.1654823,0,1,1,0,0,1,0,0,0,.5,.5,1
130,2012,4,0,11,-2.397939,-2.1065457,1,0,0,0,0,0,0,1,0,2,1,1
130,2015,3,0,6,1.4149714,-.296698,1,1,0,0,0,0,0,0,1,3,1.5,1.6666666
131,2012,6,.16666667,9,-1.4206787,-1.8194312,1,1,1,0,1,0,0,1,0,3.02,1,.66666669
131,2015,8,.125,10,-.19104391,.54581678,1,1,0,0,1,0,0,1,0,6,6,1.3333334
132,2012,6,.16666667,4,-1.4206787,4.5944982,0,1,1,0,1,0,0,1,0,1,1,1
132,2015,6,.16666667,7,-1.3540927,1.6932991,1,1,1,1,0,0,0,1,0,11,3,1
133,2012,6,.16666667,5,-1.3540927,1.055799,0,1,1,1,0,0,0,1,0,3.45,2,1
133,2015,6,.16666667,8,.89534432,.49085104,0,1,1,0,0,1,0,0,0,.505,.5,1.3333334
134,2012,6,.16666667,9,-.20111838,.32067829,1,1,0,1,1,0,0,0,0,2,2,1
134,2015,5,.2,9,-1.3540927,-1.7700771,0,1,1,0,0,0,0,1,0,1.5,1.5,1
135,2012,4,.25,12,-.20111838,2.2750371,1,1,1,1,1,0,0,1,0,1,1,1
135,2015,4,.25,12,-1.3540927,-2.73754,0,1,1,0,0,0,0,1,0,2,2,1
