Species,Community,Total,Consumed,Sold,numday,Tot_daily,Cons_daily,Sold_daily,LongMig,TG,TL,Pr_content,Fe_content,Zn_content,Ca_content,VitA_content,O3_content,Pr_MinBio,Fe_MinBio,Zn_MinBio,Ca_MinBio,VitA_MinBio,O3_MinBio,Pr_RDA_100g,Fe_RDA_100g,Zn_RDA_100g,Ca_RDA_100g,VitA_RDA_100g,O3_RDA_100g,Num_RDA_100,Num_RDA_50
Kryptopterus dissitus,Cambodia,54.68243,18.711487,23.923728,1103,0.495760925,0.169641768,0.216896899,NA,3.99000001,21.46999931,17.9454136,1.3110436,1.3042438,110.3927455,300,296.7783872,72.44190794,575.8771104,314.3584045,407.6354818,133.3333333,96.0312517,1.380416431,0.173648159,0.318108244,0.245317212,0.75,1.041327674,2,3
Labeo chrysophekadion,Cambodia,16.41388,7.0620889,5.80808,1103,0.148811242,0.064026191,0.052657117,NA,2,90,21.91436,2.4854726,2.3039453,334.7593591,75.6389236,208.6990606,59.32183281,303.7651672,177.9556138,134.4249198,528.8282553,136.5602697,1.68572,0.329201669,0.561937878,0.743909687,0.189097309,0.732277406,1,4
Labiobarbus leptocheilus,Cambodia,1019.13088,423.088201,189.8826199,1103,9.239627198,3.835795114,1.721510607,NA,2.339999914,36.59999847,21.6131553,2.6750567,2.573667,459.7433778,98.0308492,236.7755607,60.14855221,282.2370083,159.3057688,97.88069208,408.0348209,120.3671524,1.662550408,0.354312146,0.627723659,1.021651951,0.245077123,0.830791441,2,4
Labiobarbus siamensis,Cambodia,167.5433899,73.7250264,22.875843,1103,1.518979056,0.668404591,0.207396582,NA,2.339999914,22,21.6130648,2.6750604,2.5736898,459.7535387,98.0398762,236.7760825,60.14880407,282.2366179,159.3043575,97.87852885,407.9972512,120.3668871,1.662543446,0.354312636,0.62772922,1.02167453,0.245099691,0.830793272,2,4
Leptobarbus hoevenii,Cambodia,26.8,0.47,9.8,1103,0.242973708,0.004261106,0.088848595,NA,2.75999999,122,20.1656804,2.5061542,2.1877471,319.5243828,90.2424379,270.6014468,64.46596268,301.2583982,187.4074019,140.8343226,443.2504366,105.3209446,1.551206185,0.331940954,0.533596854,0.710054184,0.225606095,0.949478761,1,4
Lobocheilos melanotaenia,Cambodia,15.5,12.9445,0,1103,0.140525839,0.117357208,0,NA,2,24.39999962,21.6097057,2.6619801,2.5507458,448.2595673,96.6311384,235.814495,60.15815384,283.6234576,160.7373028,100.3882645,413.9452423,120.8577106,1.662285054,0.352580146,0.622133122,0.996132372,0.241577846,0.827419281,1,4
Lobocheilos rhabdoura,Cambodia,81.9916,17.773,60.0016,1103,0.743350861,0.161133273,0.543985494,NA,2,26.84000015,21.6097057,2.6619801,2.5507458,448.2595673,96.6311384,235.814495,60.15815384,283.6234576,160.7373028,100.3882645,413.9452423,120.8577106,1.662285054,0.352580146,0.622133122,0.996132372,0.241577846,0.827419281,1,4
Luciosoma bleekeri,Cambodia,12.172,1.6908,5,1103,0.110353581,0.015329102,0.045330916,NA,3.779999971,30.5,19.357296,2.9945607,2.3158178,320.7345536,101.4950792,315.3370774,67.15814027,252.1237923,177.043289,140.3029374,394.1077766,90.37947657,1.489022769,0.396630556,0.56483361,0.712743452,0.253737698,1.106445886,2,4
Macrognathus semiocellatus,Cambodia,105.3661,57.63343459,27.475148,1103,0.955268359,0.522515273,0.249094723,NA,3.269999981,23.42000008,17.6891523,2.7272408,2.8337239,1512.868647,123.9854843,637.0021343,73.49136793,276.8365742,144.6859378,29.74481631,322.6184115,44.74082341,1.360704023,0.361223947,0.691152171,3.361930327,0.309963711,2.235095208,3,4
Macrognathus siamensis,Cambodia,762.9606827,290.2471623,303.5158597,1103,6.917141276,2.631433929,2.751730369,NA,3.25999999,36.59999847,19.4982758,4.15,6.8,4140,200,846.3,66.67256189,181.9277108,60.29411765,10.86956522,200,33.67600142,1.499867369,0.549668874,1.658536585,9.2,0.5,2.969473684,4,6
Mastacembelus armatus,Cambodia,24.4835097,13.8875404,6.5626238,1103,0.221971983,0.125906985,0.059497949,NA,2.779999971,36.06999969,17.9,0.9092333,8.5730857,326,52.3333333,171.5047995,72.62569832,830.3699392,47.82408742,138.0368098,764.3312107,166.1761075,1.376923077,0.120428252,2.090996512,0.724444444,0.130833333,0.601771226,2,4
Mastacembelus favus,Cambodia,15.02113,6.3541597,7.000625,1103,0.136184316,0.057607976,0.063468948,NA,2.769999981,85.40000153,17.562525,1.3540046,1.5396985,258.882437,78.1728331,427.4954092,74.02124694,557.6051957,266.2858995,173.8240744,511.6867128,66.66738259,1.350963462,0.179338358,0.37553622,0.575294304,0.195432083,1.499983892,2,3
Micronema hexapterus,Cambodia,87.2209197,15.1791624,64.1717997,1103,0.790760831,0.137617066,0.581793288,NA,3.710000038,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Monopterus albus,Cambodia,706.790841,108.7296799,576.38235,1103,6.407895204,0.98576319,5.225587942,NA,2.880000114,122,15.8542667,0.3938349,0.352,30.3508411,49.0862196,392.0615579,81.99685451,1917.046966,1164.772727,1482.660723,814.8926588,72.69266631,1.219558977,0.052163563,0.085853659,0.067446314,0.122715549,1.375654589,2,2
Mystus albolineatus,Cambodia,1117.568626,531.4976454,300.1001075,1103,10.13208183,4.81865499,2.720762534,NA,3.650000095,42.70000076,21.3509006,2.0411962,3.2978148,396.9327297,34.1601395,325.6588466,60.88736135,369.8811511,124.3247498,113.369336,1170.955405,87.51489572,1.642376969,0.270357113,0.804345073,0.882072733,0.085400349,1.14266262,2,4
Mystus atrifasciatus,Cambodia,27.97163,15.8563788,4.901127,1103,0.25359592,0.143756834,0.044434515,NA,3.039999962,18.29999924,24.0679994,1.6179232,1.5708687,111.1902469,20.4021371,285.4574289,54.0136294,466.6476134,261.0020812,404.7117553,1960.578924,99.83975583,1.851384569,0.214294464,0.383138707,0.247089438,0.051005343,1.001605014,2,2
Mystus bocourti,Cambodia,77.5074501,48.7719988,6.26565,1103,0.702696737,0.442175873,0.05680553,NA,3.5,29.28000069,24.2579837,1.598693,1.5390007,105.9094042,19.8519674,283.4043641,53.59060407,472.260778,266.4066365,424.891447,2014.913645,100.5630245,1.865998746,0.211747417,0.375366024,0.235354232,0.049629919,0.994401278,1,2
Mystus gulio,Cambodia,21.66885,6.3731133,10.11,1103,0.196453762,0.057779812,0.091659112,NA,4,46,21.3509006,2.0411962,3.2978148,396.9327297,34.1601395,325.6588466,60.88736135,369.8811511,124.3247498,113.369336,1170.955405,87.51489572,1.642376969,0.270357113,0.804345073,0.882072733,0.085400349,1.14266262,2,4
Mystus multiradiatus,Cambodia,209.5309299,65.3883588,108.506439,1103,1.899645783,0.592822836,0.983739248,NA,3.059999943,15.61999989,24.0679994,1.6179232,1.5708687,111.1902469,20.4021371,285.4574289,54.0136294,466.6476134,261.0020812,404.7117553,1960.578924,99.83975583,1.851384569,0.214294464,0.383138707,0.247089438,0.051005343,1.001605014,2,2
Mystus mysticetus,Cambodia,639.449505,298.5613482,83.111929,1103,5.797366319,2.70681186,0.753507969,NA,3.109999895,15.85999966,24.0679994,1.6179232,1.5708687,111.1902469,20.4021371,285.4574289,54.0136294,466.6476134,261.0020812,404.7117553,1960.578924,99.83975583,1.851384569,0.214294464,0.383138707,0.247089438,0.051005343,1.001605014,2,2
Mystus singaringan,Cambodia,147.4785,51.0544613,18.5781467,1103,1.33706709,0.462869096,0.16843288,NA,3.769999981,36.59999847,24.2579837,1.598693,1.5390007,105.9094042,19.8519674,283.4043641,53.59060407,472.260778,266.4066365,424.891447,2014.913645,100.5630245,1.865998746,0.211747417,0.375366024,0.235354232,0.049629919,0.994401278,1,2
Mystus wolffii,Cambodia,116.52443,47.020284,49.2,1103,1.056431822,0.426294506,0.44605621,NA,3.349999905,20,21.3509006,2.0411962,3.2978148,396.9327297,34.1601395,325.6588466,60.88736135,369.8811511,124.3247498,113.369336,1170.955405,87.51489572,1.642376969,0.270357113,0.804345073,0.882072733,0.085400349,1.14266262,2,4
Nandus nandus,Cambodia,35.4815,15.43515,12.761,1103,0.321681777,0.139937897,0.115693563,NA,3.890000105,20,16.4166667,0.84,1.6,1700,60,620.9423705,79.1878171,898.8095238,256.25,26.47058824,666.6666667,45.89797919,1.262820515,0.111258278,0.390243902,3.777777778,0.15,2.17874516,3,3
Nandus oxyrhynchus,Cambodia,10.24898,5.381582,0.4995,1103,0.09291913,0.048790408,0.004528558,NA,3.299999952,8.420000076,17.2492046,1.1569108,1.1732863,215.8738149,79.4172607,416.7313056,75.36579397,652.6000103,349.4458258,208.4551108,503.6688454,68.38939052,1.326861892,0.153233219,0.28616739,0.479719589,0.198543152,1.462215107,2,2
Notopterus notopterus,Cambodia,639.7648842,221.1769136,311.5937075,1103,5.800225605,2.005230404,2.824965617,NA,3.599999905,73.19999695,19.9333333,1.7,3.4393333,230,200,456.575,65.21739141,444.1176471,119.2091502,195.6521739,200,62.42128894,1.533333331,0.225165563,0.83886178,0.511111111,0.5,1.602017544,2,5
Ompok bimaculatus,Cambodia,591.1925252,150.3848613,367.978176,1103,5.359859703,1.363416694,3.336157534,NA,3.930000067,54.90000153,14.675,1.1977298,0.98872,69.6084143,70,278.6881098,88.58603066,630.3592012,414.6775629,646.4735686,571.4285714,102.2648581,1.128846154,0.158639709,0.24115122,0.154685365,0.175,0.977853017,1,2
Ompok hypophthalmus,Cambodia,624.8768552,299.9856638,211.8099055,1103,5.665248007,2.719724967,1.920307393,NA,3.869999886,36.59999847,15.3658333,0.8288649,0.94436,270.0542072,73.2797376,223.3440549,84.6032867,910.8842708,434.1564658,166.6332121,545.853483,127.6058143,1.181987177,0.10978343,0.230331707,0.60012046,0.183199344,0.783663351,1,3
Ophisternon bengalense,Cambodia,113.57065,39.3977732,70.2013,1103,1.029652312,0.357187427,0.636457842,NA,3.269999981,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
